og_sentence,sentence,Agent,Issue,Side,Position,Frequency,Time,Place,Support_rate,target_span
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"On a variety of important issues, Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats.","(34, 54)","(0, 32)","(88, 123)",,,,,"(65, 87)","(59, 64)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"With Nancy Pelosi and the Democrats, Congressman Joe Heck has voted on a variety of important issues 62 percent of the time.","(37, 57)","(68, 100)","(0, 35)",,,,,"(101, 123)","(62, 67)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"With Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time on a variety of important issues.","(37, 57)","(91, 123)","(0, 35)",,,,,"(68, 90)","(62, 67)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"With Nancy Pelosi and the Democrats on a variety of important issues, Congressman Joe Heck has voted 62 percent of the time.","(70, 90)","(36, 68)","(0, 35)",,,,,"(101, 123)","(95, 100)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"With Nancy Pelosi and the Democrats on a variety of important issues, Congressman Joe Heck has voted 62 percent of the time.","(70, 90)","(36, 68)","(0, 35)",,,,,"(101, 123)","(95, 100)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"With Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time on a variety of important issues.","(37, 57)","(91, 123)","(0, 35)",,,,,"(68, 90)","(62, 67)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"With Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time on a variety of important issues.","(37, 57)","(91, 123)","(0, 35)",,,,,"(68, 90)","(62, 67)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"62 percent of the time, Congressman Joe Heck has voted on a variety of important issues with Nancy Pelosi and the Democrats.","(24, 44)","(55, 87)","(88, 123)",,,,,"(0, 22)","(49, 54)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"62 percent of the time, Congressman Joe Heck has voted with Nancy Pelosi and the Democrats on a variety of important issues.","(24, 44)","(91, 123)","(55, 90)",,,,,"(0, 22)","(49, 54)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"62 percent of the time on a variety of important issues, Congressman Joe Heck has voted with Nancy Pelosi and the Democrats.","(57, 77)","(23, 55)","(88, 123)",,,,,"(0, 22)","(82, 87)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,62 percent of the time on a variety of important issues with Nancy Pelosi and the Democrats has Congressman Joe Heck voted.,"(96, 116)","(23, 55)","(56, 91)",,,,,"(0, 22)","(117, 122)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"62 percent of the time, with Nancy Pelosi and the Democrats, Congressman Joe Heck has voted on a variety of important issues.","(61, 81)","(92, 124)","(24, 59)",,,,,"(0, 22)","(86, 91)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues , Congressman Joe Heck has voted.","(94, 114)","(59, 91)","(23, 58)",,,,,"(0, 22)","(119, 124)"
Ron Johnson voted to turn Medicare into a voucher program .,"To turn Medicare into a voucher program, Ron Johnson voted.","(41, 52)","(0, 39)",,,,,,,"(53, 58)"
Nevada lawmakers voted to allow teenaged boys to shower with your teenaged girls in public school locker rooms .,"To allow teenaged boys to shower with your teenaged girls in public school locker rooms, Nevada lawmakers voted.","(89, 105)","(0, 87)",,,,,,,"(106, 111)"
Sen. Bennet votes with Obama 98 percent of the time .,Sen. Bennet votes 98 percent of the time with Obama.,"(0, 11)",,"(41, 51)",,,,,"(18, 40)","(12, 17)"
Sen. Bennet votes with Obama 98 percent of the time .,"With Obama, Sen. Bennet votes 98 percent of the time.","(12, 23)",,"(0, 10)",,,,,"(30, 52)","(24, 29)"
Sen. Bennet votes with Obama 98 percent of the time .,"With Obama 98 percent of the time, Sen. Bennet votes.","(35, 46)",,"(0, 10)",,,,,"(11, 33)","(47, 52)"
Sen. Bennet votes with Obama 98 percent of the time .,98 percent of the time Sen. Bennet votes with Obama.,"(23, 34)",,"(41, 51)",,,,,"(0, 22)","(35, 40)"
Sen. Bennet votes with Obama 98 percent of the time .,"98 percent of the time, with Obama, Sen. Bennet votes.","(36, 47)",,"(24, 34)",,,,,"(0, 22)","(48, 53)"
Did not vote for tax increases as a member of the West Miami City Commission .,"As a member of the West Miami City Commission, did not vote for tax increases.","(3, 45)","(64, 77)",,"(60, 63)",,,,,"(55, 59)"
Did not vote for tax increases as a member of the West Miami City Commission .,"As a member of the West Miami City Commission, did not vote for tax increases.","(3, 45)","(64, 77)",,"(60, 63)",,,,,"(55, 59)"
Did not vote for tax increases as a member of the West Miami City Commission .,"As a member of the West Miami City Commission, did not vote for tax increases.","(3, 45)","(64, 77)",,"(60, 63)",,,,,"(55, 59)"
Did not vote for tax increases as a member of the West Miami City Commission .,"As a member of the West Miami City Commission, did not vote for tax increases.","(3, 45)","(64, 77)",,"(60, 63)",,,,,"(55, 59)"
Did not vote for tax increases as a member of the West Miami City Commission .,"As a member of the West Miami City Commission, did not vote for tax increases.","(3, 45)","(64, 77)",,"(60, 63)",,,,,"(55, 59)"
It was older voters who voted to leave .,To leave was older voters who voted.,"(13, 29)","(0, 8)",,,,,,,"(30, 35)"
"While serving in the city council , Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China .",Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China while serving in the city council.,"(0, 16)","(23, 83)",,,,"(84, 117)",,,"(17, 22)"
"While serving in the city council , Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China .",Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China while serving in the city council.,"(0, 16)","(23, 83)",,,,"(84, 117)",,,"(17, 22)"
"While serving in the city council , Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China .","To use tax dollars to take a taxpayer-funded junket to China , Rachel Zenzinger voted while serving in the city council.","(63, 79)","(0, 60)",,,,"(86, 119)",,,"(80, 85)"
"While serving in the city council , Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China .","To use tax dollars to take a taxpayer-funded junket to China , while serving in the city council, Rachel Zenzinger voted.","(98, 114)","(0, 60)",,,,"(63, 96)",,,"(115, 120)"
"Ron Johnson justifies his support of trade agreements by saying the U.S. has the Trade Adjustment Assistance program for displaced workers , but then he voted to eliminate it .","To eliminate it, he voted after Ron Johnson justified his support of trade agreements by saying the U.S. has the Trade Adjustment Assistance program for displaced workers.","(17, 19)","(0, 15)",,,,,,,"(20, 25)"
Barack Obama voted for the very same language of Indiana 's Religious Freedom Restoration Act when he was in the Illinois state Senate .,"When he was in the Illinois state Senate, Barack Obama voted for the very same language of Indiana 's Religious Freedom Restoration Act.","(42, 54)","(65, 135)",,"(61, 64)",,"(0, 40)",,,"(55, 60)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .",Russ Feingold voted against authorizing our military 11 separate times as a U.S. senator.,"(0, 13)","(28, 52)",,"(20, 27)","(53, 70)",,,,"(14, 19)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .",Russ Feingold voted against authorizing our military 11 separate times as a U.S. senator.,"(0, 13)","(28, 52)",,"(20, 27)","(53, 70)",,,,"(14, 19)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .",Russ Feingold voted against authorizing our military 11 separate times as a U.S. senator.,"(0, 13)","(28, 52)",,"(20, 27)","(53, 70)",,,,"(14, 19)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .",Russ Feingold voted against authorizing our military 11 separate times as a U.S. senator.,"(0, 13)","(28, 52)",,"(20, 27)","(53, 70)",,,,"(14, 19)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .",Russ Feingold voted against authorizing our military 11 separate times as a U.S. senator.,"(0, 13)","(28, 52)",,"(20, 27)","(53, 70)",,,,"(14, 19)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","Authorizing our military, Russ Feingold voted against 11 separate times as a U.S. senator.","(26, 39)","(0, 24)",,"(46, 53)","(54, 71)",,,,"(40, 45)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .",Authorizing our military was voted against 11 separate times by U.S. senator Russ Feingold.,"(77, 90)","(0, 24)",,"(35, 42)","(43, 60)",,,,"(29, 34)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .",Russ Feingold voted against authorizing our military 11 separate times as a U.S. senator.,"(0, 13)","(28, 52)",,"(20, 27)","(53, 70)",,,,"(14, 19)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .",Russ Feingold voted against authorizing our military 11 separate times as a U.S. senator.,"(0, 13)","(28, 52)",,"(20, 27)","(53, 70)",,,,"(14, 19)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","Authorizing our military 11 separate times, Russ Feingold, as a U.S. senator, voted against.","(44, 57)","(0, 24)",,"(84, 91)","(25, 42)",,,,"(78, 83)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","Authorizing our military 11 separate times, Russ Feingold voted against as a U.S. senator.","(44, 57)","(0, 24)",,"(64, 71)","(25, 42)",,,,"(58, 63)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","Against authorizing our military 11 separate times, Russ Feingold, as a U.S. senator, voted.","(52, 65)","(8, 32)",,"(0, 7)","(33, 50)",,,,"(86, 91)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","Against authorizing our military, Russ Feingold voted 11 separate times as a U.S. senator.","(34, 47)","(8, 32)",,"(0, 7)","(54, 71)",,,,"(48, 53)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","Against authorizing our military 11 separate times, Russ Feingold, as a U.S. senator, voted.","(52, 65)","(8, 32)",,"(0, 7)","(33, 50)",,,,"(86, 91)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","Against authorizing our military 11 separate times , Russ Feingold voted as a U.S. senator.","(53, 66)","(8, 32)",,"(0, 7)","(33, 50)",,,,"(67, 72)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","Against authorizing our military 11 separate times, Russ Feingold, as a U.S. senator, voted.","(52, 65)","(8, 32)",,"(0, 7)","(33, 50)",,,,"(86, 91)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .",Against authorizing our military 11 separate times did Russ Feingold vote as a U.S. senator.,"(55, 68)","(8, 32)",,"(0, 7)","(33, 50)",,,,"(69, 73)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","11 separate times, Russ Feingold voted against authorizing our military as a U.S. senator.","(19, 32)","(47, 71)",,"(39, 46)","(0, 17)",,,,"(33, 38)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","11 separate times , Russ Feingold voted against authorizing our military as a U.S. senator.","(20, 33)","(48, 72)",,"(40, 47)","(0, 17)",,,,"(34, 39)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","11 separate times, authorizing our military, Russ Feingold, voted against as a U.S. senator.","(45, 58)","(19, 43)",,"(66, 73)","(0, 17)",,,,"(60, 65)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","11 separate times authorizing our military, Russ Feingold voted against as a U.S. senator.","(44, 57)","(18, 42)",,"(64, 71)","(0, 17)",,,,"(58, 63)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","11 separate times , Russ Feingold voted against authorizing our military as a U.S. senator.","(20, 33)","(48, 72)",,"(40, 47)","(0, 17)",,,,"(34, 39)"
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .","11 separate times , against authorizing our military , Russ Feingold voted as a U.S. senator.","(55, 68)","(28, 52)",,"(20, 27)","(0, 17)",,,,"(69, 74)"
Debbie Wasserman Schultz has voted for huge subsidies for the sugar industry as well as for delays in cleanups .,"For huge subsidies for the sugar industry as well as for delays in cleanups, Debbie Wasserman Schultz has voted.","(77, 101)","(0, 75)",,,,,,,"(106, 111)"
"Mike Pence voted against expanding the Children 's Health Insurance program , which Hillary helped to start .","Mike Pence, expanding the Children 's Health Insurance program, voted against, which Hillary helped to start.","(0, 10)","(12, 62)",,"(70, 77)",,,,,"(64, 69)"
"Mike Pence voted against expanding the Children 's Health Insurance program , which Hillary helped to start .","Expanding the Children 's Health Insurance program was voted against by Mike Pence, which Hillary helped to start.","(72, 82)","(0, 50)",,"(61, 68)",,,,,"(55, 60)"
"Mike Pence voted against expanding the Children 's Health Insurance program , which Hillary helped to start .","Against expanding the Children's Health Insurance program, Mike Pence voted, which Hillary helped to start.","(59, 69)","(0, 15)",,,,,,,"(70, 75)"
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment.,"(0, 10)","(25, 75)",,"(17, 24)",,,,,"(11, 16)"
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,Requiring insurance companies to cover mental health and addiction treatment was voted against by Mike Pence.,"(98, 108)","(0, 50)",,"(87, 94)",,,,,"(81, 86)"
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,Requiring insurance companies to cover mental health and addiction treatment was voted against by Mike Pence.,"(98, 108)","(0, 50)",,"(87, 94)",,,,,"(81, 86)"
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,"Against requiring insurance companies to cover mental health, Mike Pence voted.","(62, 72)","(8, 58)",,"(0, 7)",,,,,"(73, 78)"
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,"Against requiring insurance companies to cover mental health, Mike Pence voted.","(62, 72)","(8, 58)",,"(0, 7)",,,,,"(73, 78)"
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,"Mike Pence, requiring insurance companies to cover mental health and addiction treatment, voted against it.","(0, 10)","(12, 88)",,"(96, 103)",,,,,"(90, 95)"
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,Requiring insurance companies to cover mental health and addiction treatment was voted against by Mike Pence.,"(98, 108)","(0, 76)",,"(87, 94)",,,,,"(81, 86)"
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,Requiring insurance companies to cover mental health and addiction treatment was voted against by Mike Pence.,"(98, 108)","(0, 76)",,"(87, 94)",,,,,"(81, 86)"
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,"Against, Mike Pence voted requiring insurance companies to cover mental health and addiction treatment.","(9, 19)","(26, 102)",,"(0, 7)",,,,,"(20, 25)"
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,"Against requiring insurance companies to cover mental health and addiction treatment, Mike Pence voted.","(86, 96)","(8, 84)",,"(0, 7)",,,,,"(97, 102)"
Mike Pence voted against requiring insurance companies to cover mental health and addiction treatment .,"Against requiring insurance companies to cover mental health and addiction treatment, Mike Pence voted.","(86, 96)","(0, 15)",,,,,,,"(97, 102)"
Mike Pence voted to end Medicare as we know it .,"To end Medicare as we know it , Mike Pence voted.","(32, 42)","(0, 15)",,,,,,,"(43, 48)"
U.S. Sen. Johnny Isakson has voted for $ 7 trillion of our national debt !,U.S. Sen. Johnny Isakson has voted $ 7 trillion of our national debt for!,"(0, 24)","(35, 68)",,"(69, 72)",,,,,"(29, 34)"
U.S. Sen. Johnny Isakson has voted for $ 7 trillion of our national debt !,$ 7 trillion of our national debt has been voted for by U.S. Sen. Johnny Isakson!,"(56, 80)","(0, 33)",,"(49, 52)",,,,,"(43, 48)"
U.S. Sen. Johnny Isakson has voted for $ 7 trillion of our national debt !,$ 7 trillion of our national debt has been voted for by U.S. Sen. Johnny Isakson!,"(56, 80)","(0, 33)",,"(49, 52)",,,,,"(43, 48)"
U.S. Sen. Johnny Isakson has voted for $ 7 trillion of our national debt !,"Voted for $ 7 trillion of our national debt, U.S. Sen. Johnny Isakson!","(45, 69)","(10, 43)",,"(6, 9)",,,,,"(0, 5)"
U.S. Sen. Johnny Isakson has voted for $ 7 trillion of our national debt !,Voted for $ 7 trillion of our national debt was U.S. Sen. Johnny Isakson!,"(48, 72)","(10, 43)",,"(6, 9)",,,,,"(0, 5)"
"Kim Myers voted repeatedly to raise taxes on the people of Broome County , but made millions off of tax savings when her family business relocated its headquarters .","To raise taxes on the people of Broome County, Kim Myers voted repeatedly, but made millions off of tax savings when her family business relocated its headquarters.","(47, 56)","(0, 45)",,,,,,,"(57, 62)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,GOP Rep. Joe Heck of Nevada voted against banning terrorists from buying guns 23 times.,"(0, 27)","(42, 77)",,"(34, 41)","(78, 86)",,,,"(28, 33)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,GOP Rep. Joe Heck of Nevada voted against banning terrorists from buying guns 23 times.,"(0, 27)","(42, 77)",,"(34, 41)","(78, 86)",,,,"(28, 33)"
